id,text,timestamp,user,location
526933181,“@lexi_barnes: I need help with my math homework! I've been staring at the same problem for about an hour now...” Story of my life Lexi!,2012-11-26 08:48:36,logan_swaringen,Richmond
566687787,Thanks to me I help tommy with his iPod.,2012-11-26 05:55:37,_wynteryoung,Richmond
566687787,Taking sleeping pills dosent help me like its suppose to.,2012-11-26 05:31:11,_wynteryoung,Richmond
387897682,"God, please help those that are hurting right now. Guide them and place your arms around them to comfort them and give them strength.",2012-11-26 04:31:36,glennifurr,Richmond
492637847,"When my black friends say ""Oh god Oh god"" to me in the Big Sean voice I can't help but smile lol",2012-11-26 03:34:59,anthony_scar,Richmond
157160630,"Daddy it's me, help mommy her wrists are bleeding",2012-11-26 03:28:21,J_Layton20,Richmond
316752595,I wanna see you take it all off for me . I can't help but to stare the way you move your bodyy !,2012-11-26 03:24:12,_neciaab,Richmond
14315132,@e_shirt does this help your project? Netflix Gives A Hollywood Look To Open Source Center On GitHub http://techcrunch.com/2012/11/13/netflix-gives-a-hollywood-look-to-open-source-center-on-github/ … via @TechCrunch,2012-11-26 01:52:57,hugel,Richmond
40878757,I have blah blah insurance so person come help,2012-11-26 01:36:03,Melissa__Pearl,Richmond
249400661,Yall need to help me out on the bitches/niggas be like,2012-11-26 00:35:09,FetchKeeTweets,Richmond
308172333,"""@CRZYMike2x: Only way Wythe winnin 2moro is if sum1 go off for 30..""not even thats gone help",2012-11-25 22:41:13,TreSlay03,Richmond
183075867,4 of the Steelers 5 RB's fumbled vs the Browns today and all were in Pittsburg's side of the 50. Maybe the O will help the D next week. #Ben,2012-11-25 22:08:27,scottyd82,Richmond
345648463,Who want to help me with mr.ford packet?,2012-11-25 22:07:37,IAm_Nicholaus,Richmond
61237715,Hopefully @Mich1gan_fAn will help me cook this afternoon??!! Lol,2012-11-25 17:16:36,Siimply_Jas,Richmond
40878757,"You never helped clean before or anything but you get a dog & then start tryin to help out to make me ""less mad"" we'll it's not working",2012-11-25 16:12:19,Melissa__Pearl,Richmond
196916702,Someone help me,2012-11-25 16:09:29,aprilaversa,Richmond
24016445,Xmas tree shopping. Buy one here to help send kids to  Youth Leadership camp. (@ YMCA) http://4sq.com/RaD67I ,2012-11-25 15:48:02,MillsHound,Richmond
52667542,@DSDaoulas yeah I can't help it lol,2012-11-25 15:46:38,Evolution081,Richmond
332107169,I need sex !!! ive been so stress lately maybe that'll help,2012-11-25 13:14:16,xDom0,Richmond
364508875,"@DESTINYDIXON $elf made, $elf paid....but please help me buy a laptop...you greedy ass porn stars are the worst #unfollow",2012-11-25 12:31:31,tonymontani72,Richmond
187191750,You need to seek professional help,2012-11-25 03:31:01,IanFeltz,Richmond
251847564,@ZachHargrave5 oh no doubt. They got a lot to improve in. This tourney will help them a ton down the road,2012-11-25 02:17:22,Zhynes02,Richmond
26798368,"Grampa, can I help? http://campl.us/mYxY ",2012-11-24 23:43:53,kmdric,Richmond
30684761,This bro sitting cross the isle from me just pulled out his MacBook with Window 7 to play some weird video game. #help #amtraktweeting,2012-11-24 23:22:33,d3anna_may,Richmond
629533358,@MrsKimmieJ I help with basketball an I don't know if Broad'Rock having a team but I'm holding on to my boy now I got him lol #cornbread,2012-11-24 21:51:31,coachbigJ,Richmond
30231227,@ashlynburns I'm trapped in the food court with someone invading my bubble! Haha help!,2012-11-24 21:15:31,AmberFritts,Richmond
243711563,"Mike London you've got a lot of questions to answer after this game. fake field goal cost the game, icing a kicker with 343 doesn't help.",2012-11-24 20:16:57,C_Snyder10,Richmond
423760541,@xoxo_Gabbs rigght lmfao! I just cant help myself,2012-11-24 17:14:05,Slightworkk,Richmond
174086200,@KissMii_Nikes txt me I need your help with something :'(,2012-11-24 16:00:37,LiickMii_Tweetz,Richmond
40878757,Oh lord help me get through this work day ,2012-11-24 12:34:22,Melissa__Pearl,Richmond
168144905,So yea I'm going to work here shortly. But that's okay I have a song in my heart and I'm going to help my old GM out. You guys be safe,2012-11-24 11:59:06,BitchIWorkHard,Richmond
892896205,"@Hubbied_upp012 O yea,, I'ma need ur help getn all the cousins names 2getha 4 Christmas,,, I think Ima celebrate this year... but no pork!",2012-11-24 06:47:29,beka1695,Richmond
418916714,@MikeyB_DaPoet sometimes u cant help it.,2012-11-24 06:27:35,LizaBarbour,Richmond
21898311,@MrFlintstone5 word. Go for it! I'd love to help!,2012-11-24 01:14:09,_KimberlyDiane,Richmond
604158595,My ma told me i should have one smh she's good help,2012-11-24 01:03:29,_Poohdeepoh,Richmond
308773879,I need someones Straightner! Help:(,2012-11-23 20:46:58,LilJayReey,Richmond
19771828,Worst idea ever: going to a brick and mortar @TMobile store for help. They can't figure out how to swap out my car charger. #fail #need611,2012-11-23 20:46:37,dayne517,Richmond
505209592,Somebody need to help me pack @Pinkidaeyecandy,2012-11-23 18:59:04,Liz91204949,Richmond
18542299,"""Sir, I need help finding a movie."" ""It'll probably be in the movie section."" Well screw you, Best Buy.",2012-11-23 18:37:44,ChrisDouthat,Richmond
65667943,We're Dominating in this Excel Culture to help others @SEW42 @MedinaPullings @BishopOPullings @misssarrina @GLAMMOM__ @GeneLovey9 @showtime,2012-11-23 10:48:22,Kelliegryl,Richmond
328673884,This some crazy shit. God please help Corrales pull through,2012-11-23 05:26:33,NyeSoCold,Richmond
214095486,Watching this game with obnoxious redskins fans don't help.,2012-11-22 23:53:53,JEubank_10,Richmond
544674862,"my mama been gone since this morning,  she ain help cooked or nothing!  Smh",2012-11-22 22:45:28,nadiaadaniellee,Richmond
22434682,I'm thankful for trashy people that have no respect for others and will hurt your feelings no matter what. Happy Thanksgiving! Get help,2012-11-22 13:13:54,bennyliciousss,Richmond
355934319,@CBerbert804 ur too young to be stressed baby. Can mama burke help??,2012-11-22 04:29:57,MicheleSellsRVA,Richmond
556295380,This bitch said she gonna help lol,2012-11-22 04:20:08,Presley1996,Richmond
60775954,So did they go to Williamsburg or short pump...that is the question and will help me judge my time. #babysitterprobs,2012-11-22 03:52:48,sipOfsassy,Richmond
196013666,Who wants to help a nigga reup?,2012-11-22 03:26:39,Elliot_Hinton,Richmond
298960862,"Today has already been stressful, and to have my Wizards lose and go 0-10 on the season did not help either",2012-11-22 03:24:21,GrifAvery129,Richmond
281901474,@TreHeath_ bra ! That shit help you get back faster than you know it,2012-11-22 03:04:30,TWoodson_,Richmond
164444120,@heatherphale episode 2 of season 2. Lord help me! I've been at it since this afternoon!,2012-11-22 02:58:18,Prettyteef,Richmond
366620895,@UrTrendnTOPIC__ you prolly used all the help things cuz you was scared I was gone beat you,2012-11-22 01:31:28,kungfu_kaleb,Richmond
216920066,so I do you a favor and help you out but yet you can't fucking respond to me. trust me I'll remember this next time you need something again,2012-11-22 00:57:37,watsthedeel,Richmond
332595284,"At chipotle for the 2nd time this week, help me lord!",2012-11-21 23:11:15,aurilovesyou2,Richmond
308773879,You really need help,2012-11-21 18:04:36,LilJayReey,Richmond
308773879,I need someones Straightner! Help:(,2012-11-23 20:46:58,LilJayReey,Richmond
19771828,Worst idea ever: going to a brick and mortar @TMobile store for help. They can't figure out how to swap out my car charger. #fail #need611,2012-11-23 20:46:37,dayne517,Richmond
505209592,Somebody need to help me pack @Pinkidaeyecandy,2012-11-23 18:59:04,Liz91204949,Richmond
18542299,"""Sir, I need help finding a movie."" ""It'll probably be in the movie section."" Well screw you, Best Buy.",2012-11-23 18:37:44,ChrisDouthat,Richmond
65667943,We're Dominating in this Excel Culture to help others @SEW42 @MedinaPullings @BishopOPullings @misssarrina @GLAMMOM__ @GeneLovey9 @showtime,2012-11-23 10:48:22,Kelliegryl,Richmond
328673884,This some crazy shit. God please help Corrales pull through,2012-11-23 05:26:33,NyeSoCold,Richmond
214095486,Watching this game with obnoxious redskins fans don't help.,2012-11-22 23:53:53,JEubank_10,Richmond
544674862,"my mama been gone since this morning,  she ain help cooked or nothing!  Smh",2012-11-22 22:45:28,nadiaadaniellee,Richmond
22434682,I'm thankful for trashy people that have no respect for others and will hurt your feelings no matter what. Happy Thanksgiving! Get help,2012-11-22 13:13:54,bennyliciousss,Richmond
355934319,@CBerbert804 ur too young to be stressed baby. Can mama burke help??,2012-11-22 04:29:57,MicheleSellsRVA,Richmond
556295380,This bitch said she gonna help lol,2012-11-22 04:20:08,Presley1996,Richmond
60775954,So did they go to Williamsburg or short pump...that is the question and will help me judge my time. #babysitterprobs,2012-11-22 03:52:48,sipOfsassy,Richmond
196013666,Who wants to help a nigga reup?,2012-11-22 03:26:39,Elliot_Hinton,Richmond
298960862,"Today has already been stressful, and to have my Wizards lose and go 0-10 on the season did not help either",2012-11-22 03:24:21,GrifAvery129,Richmond
281901474,@TreHeath_ bra ! That shit help you get back faster than you know it,2012-11-22 03:04:30,TWoodson_,Richmond
164444120,@heatherphale episode 2 of season 2. Lord help me! I've been at it since this afternoon!,2012-11-22 02:58:18,Prettyteef,Richmond
366620895,@UrTrendnTOPIC__ you prolly used all the help things cuz you was scared I was gone beat you,2012-11-22 01:31:28,kungfu_kaleb,Richmond
216920066,so I do you a favor and help you out but yet you can't fucking respond to me. trust me I'll remember this next time you need something again,2012-11-22 00:57:37,watsthedeel,Richmond
332595284,"At chipotle for the 2nd time this week, help me lord!",2012-11-21 23:11:15,aurilovesyou2,Richmond
308773879,You really need help,2012-11-21 18:04:36,LilJayReey,Richmond
508262059,If u ain't gone help me chase my dreams fuck u doing in my passenger seat????,2012-11-21 17:05:14,__bc3__,Richmond
155031803,I feel morally wrong looking at old women with big butts but I can't help it,2012-11-21 16:56:58,MDIDW,Richmond
37007392,"I'm at Ashcake Rescue Squad (Mechanicsville, Virginia) http://4sq.com/Seluom ",2012-11-21 16:11:40,zflip26,Richmond
298960862,@Haphappygirl my dog is hinting to me that she wants help making a twitter...looks like @LovepupOriel is going to have a new friend!,2012-11-21 04:45:35,GrifAvery129,Richmond
948567415,I might need help cause I can't think of nothing else :),2012-11-21 03:57:50,TurntUpScotty_,Richmond
401678504,Wish I could help .,2012-11-21 02:14:32,yungerica_,Richmond
60775954,So proud of @eeb2809 on her job!! Now she will be so close to help with the bridal shower!,2012-11-21 01:31:50,sipOfsassy,Richmond
358181123,Wen love want let yu walk away an yu juss can't help who yu love man I swear I honestly think dis one sent frm heaven,2012-11-21 00:28:25,xAlmighty_Lingo,Richmond
336789107,@SethYale why does getting up earlier help u guys?? Hahaha,2012-11-20 23:12:41,Cord_hon,Richmond
426406040,You all are no help . I should be packing but I'm messn with y'all . Y'all ain't real .,2012-11-20 21:26:02,young_carta_93,Richmond
230759115,Niggaz can't help Dey get numbers,2012-11-20 17:05:17,NiggazHateCorey,Richmond
426406040,@spacelyyyy ill help,2012-11-20 16:56:08,young_carta_93,Richmond
29977697,God help me and bless me with today,2012-11-20 06:56:07,Sweet_Lou612,Richmond
22434682,I need help associating a new color besides pink with an emotion,2012-11-20 06:03:05,bennyliciousss,Richmond
42308159,HELP I CANT GET UP,2012-11-20 04:16:27,mexicantgetthis,Richmond
611382948,I can't help but be me,2012-11-20 03:34:34,RazoGzz_7up,Richmond
315800898,"You're not getting him he's mine, back the help up bitch ",2012-11-20 03:05:09,kaaaayp_,Richmond
14321135,#HurricaneSandy benefit dinner + @druthomasson's BDay!! (@ Heritage w/ 3 others) http://4sq.com/T01DrH ,2012-11-20 01:22:36,ChefJohnny,Richmond
278163437,@checkermykiss Bc I feel bad for me. All I've done is help that kid. Then he slams a door on my hand and almost breaks my fingers. #ouch ,2012-11-20 01:07:07,WeezaRVA,Richmond
383246969,I can't help but be crazy with him,2012-11-19 20:52:55,youknowits_CAM,Richmond
17152699,Senior uses alumni’s business to help Hurricane Sandy victims http://bit.ly/10h1ViU  via http://outside.in/23226 ,2012-11-19 20:17:08,23226,Richmond
36212322,When people fart on the silent floor of the library I can't help but giggle just a little. 'twas funny. I sorry! Lol,2012-11-19 18:04:09,NinaMeliza,Richmond
582815359,somebody always want me to help them out damn can i help myself out first,2012-11-19 16:52:12,vintage_xdollx,Richmond
203011065,Next in line to give this class presentation.. God help me,2012-11-19 16:35:24,_SirTimi,Richmond
625116850,H didn't help me..  Ugh,2012-11-19 12:50:27,tanjtaylorr,Richmond
184558994,Someone help me with mgmt171!,2012-11-19 04:01:46,justplanegoodns,Richmond
621321002,@Melaniee_9 lawwdddd help us.,2012-11-19 03:15:46,just_hazey,Richmond
81896861,I'm not sure those ugly bumblebee uniforms are going to help you get a win tonight Steelers!,2012-11-19 01:26:49,womackgirl,Richmond
508262059,It ain't feel right hooping wid out my brother gotta help him get his shxt together,2012-11-18 23:48:01,__bc3__,Richmond
508262059,Ready start help my Fam turn up in the class room so we can turn up on the court together @CRZY_DREAMS,2012-11-18 23:47:23,__bc3__,Richmond
48181411,@jtuckermartin @mattmandel will this help them win Ohio???,2012-11-18 23:28:50,MTomDem,Richmond
389800840,"My poor doe doe is sick :( been running a fever all day & didn't even know it till a while ago, Dr. Elise to the rescue :)",2012-11-18 23:02:33,elisegibson_,Richmond
134319474,@popsson help! How'd u do that????,2012-11-18 22:48:39,nicara105,Richmond
81896861,Dang Refs trying to help Eagles now. Puleeze!,2012-11-18 20:41:42,womackgirl,Richmond
55935648,Move on! Quit talking about me about us about everything. It doesn't freaking help.,2012-11-18 19:38:46,Kyarathoughh,Richmond
164444120,"I wonder why folks come into the ED if they're going to disrespect the doctor they called in to help them, smh. Such is life. #myjob",2012-11-18 04:54:20,Prettyteef,Richmond
440134730,She need to let me help her out cause she ain't got nun,2012-11-18 04:19:01,selfpaid2700,Richmond
230216052,@Elsaakayy can't wait to see you in Tuesday!!  You can help my mom dye my hair blonde!!,2012-11-18 03:42:18,jasmina910,Richmond
389800840,"@deewhittaker I know how you feel boo, I'll help kill a slut :)",2012-11-18 03:05:19,elisegibson_,Richmond
30561478,@InkedOut4Life lol lord help you -__-,2012-11-18 02:23:56,jesskaryaan,Richmond
